SITE_ID,TR
CALTECH,2000 
CMU,2000 
KKI,2500 
LEUVEN_1,1600 
LEUVEN_2,1600 
MAX_MUN,3000
NYU,2000 
OHSU,2500 
OLIN,1500 
PITT,1500 
SBL,2200 
SDSU,2000 
STANFORD,2000 
TRINITY,2000 
UCLA_1,3000
UCLA_2,3000
UM_1,2000 
UM_2,2000 
USM,2000 
YALE,2000 
ABIDEII-BNI_1,2500	
ABIDEII-EMC_1,1664	
ABIDEII-ETH_1,3000	
ABIDEII-GU_1,2530	
ABIDEII-IU_1,2400	
ABIDEII-IP_1,2500		
ABIDEII-KKI_1,3000	
ABIDEII-KUL_3,2000	
ABIDEII-NYU_1,2530	
ABIDEII-NYU_2,2530	
ABIDEII-ONRC_2,2200	
ABIDEII-OHSU_1,2300	
ABIDEII-SDSU_1,2683 
ABIDEII-TCD_1,3000	
ABIDEII-UCD_1,2000
ABIDEII-UCLA_1,2300	
ABIDEII-USM_1,2300	
ABIDEII-U_MIA_1,2000
