,SC,SC,SC,SC,SC,AUD,AUD,SM,SM,SM,SM,SM,SM,SM,SM,SM,VIS,VIS,VIS,VIS,VIS,VIS,VIS,VIS,VIS,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,DM,DM,DM,DM,DM,DM,DM,CB,CB,CB,CB
SC,1.0,0.11149400207703854,0.10874100122481814,0.2911653239223352,0.1680235624311439,-0.006365879840580092,0.04030668368291638,0.018159554657308417,-0.04417818805692299,-0.07212461747849283,-0.05756603974377103,-0.08252975319673019,0.005617758482648062,-0.02181597390736605,-0.12526520442577338,-0.046440112325797346,-0.06598395253342253,-0.02355398426444819,-0.03768227169205768,-0.07451142350975526,-0.04644572941858256,0.01764841810167099,-0.05777227504304563,-0.04964315945854553,0.0021943828775181666,-0.03926946297217123,0.09645139447917046,0.03275375124682776,0.04092158915699165,0.004028078858172268,0.0009661050998756846,-0.04690020761640144,-0.04405605130962392,0.013005359220795681,0.006687324470928054,-0.007586905806634557,0.047114513437252446,-0.00569387692146311,0.06126029727612065,0.018414506550619825,0.02767991075470345,0.0331495482756986,-0.07462596572243939,-0.014233409053310659,0.10674617150800339,-0.051305746718306754,0.09209489828099233,-0.0952542757912153,-0.026969129028239357,-2.006317930805501e-05,-0.023644207451519184,0.017306506555919594,0.005132224286099994
SC,0.11149400207703854,1.0,0.22546149010435124,0.17411440449669577,0.09779419586859711,0.0011310216880973311,0.07702664176846731,0.06892218423693322,0.016208048563758706,-0.12898791817978827,-0.014406892959488184,-0.053810629424421205,0.05067440751428721,0.005778661913202922,-0.13419676838822733,-0.0021878689412585138,-0.00925569730971695,-0.00762550537433616,0.0035966330934947134,-0.05553260208668784,0.002797284748654757,0.07576789025984132,-0.00828501919288214,-0.016848657408861555,0.022548088907535766,-0.06813613358643354,0.06391960904414579,-0.05878449663817437,-0.029349525845163992,-0.011398380135398605,-0.004963517921290207,-0.03306205710671753,0.033532773114525925,-0.0006407595750816299,-0.03045791537335889,-0.04252719929490333,0.030345330666197157,0.015544479948213567,0.04316875103783411,-0.02008847290931186,-0.04810612450870345,0.129611916122941,-0.053956431634058576,0.017684020312520244,-0.0205713333229879,-0.028072010596029616,-0.013175785885972284,-0.0941402140616704,-0.0829084668131478,0.02080713301702127,-0.07653921183805609,0.11027655271237981,0.007832009097343254
SC,0.10874100122481814,0.22546149010435124,1.0,0.3132458136465323,0.2158998123621937,0.11148512476972632,0.1629689132708332,0.1029616103798486,0.01619920100847637,-0.09898240807192799,-0.019208293091777254,-0.05041989671891347,0.02805030387113564,0.05237565101533408,-0.12064960215619272,-0.05753994550484864,-0.005320874395995416,-0.008935396565982799,0.07943989035511206,-0.043911114161552495,0.005933540763040166,0.09709072531352389,-0.02019874625883229,-0.0012764451304813095,0.012265437363756551,-0.05837040598154271,0.17812185854422716,-0.027803535335073976,0.060732986360547005,0.062146468117463605,0.005275398728910442,-0.03202477863738017,0.031746156086500305,0.03912747325903185,-0.019679579061593372,-0.025447444689953733,0.05763307603377424,0.06562787682253318,0.041125671593474,0.01730535335544836,-0.026029615207802528,0.15472051837517053,-0.09086317437427537,0.002700402878784278,0.023168244219791124,0.046071034530071435,-0.014087276476869677,-0.07411943832712432,-0.04077050811086934,0.013901947518418507,-0.10495637017420367,0.01886986501681055,-0.03731865171003938
SC,0.2911653239223352,0.17411440449669577,0.3132458136465323,1.0,0.16822840691141938,0.06925415836358592,0.13162241375161515,0.042367379676858795,-0.0021455949198374317,-0.05915842227719974,-0.02076841974280813,-0.04310187803867267,0.016908718887981903,0.03275462382072897,-0.09142144075368598,-0.008434469997821692,-0.01387703416887771,-0.016834336305030412,0.02635109218955383,-0.03674150633560572,-0.027421438371650245,0.04059063107701775,-0.03233407831849277,-0.009926599001807472,0.02279844378924685,-0.06916660892982471,0.18768676842693838,-0.012243785990897815,0.03176145199859778,0.042371774661387335,-0.025339959045020753,-0.029402810331620222,0.01098179382222792,0.04552661830265227,0.01058815221189135,0.0047976502668034045,0.14055046231454824,0.03163476677435629,0.05585693392493556,-0.006495195879713818,0.0013775358053085306,0.05996478383342693,-0.05931962111445505,-0.03794240859024784,0.10709473972076457,0.009198751907788742,0.06536877879068967,-0.06222149370004352,-0.039008303813902814,0.00930224741193426,-0.09636034129802516,0.00046984241024460667,-0.016465558400111317
SC,0.1680235624311439,0.09779419586859711,0.2158998123621937,0.16822840691141938,1.0,0.037741968639053554,0.03302863120180663,0.04991453824237398,0.03206010701903004,-0.007354064718002911,0.013075022677413556,-0.014600469917296811,-0.00815224032316021,0.09193400536150148,-0.029949636037290856,-0.04520852429070821,0.035421547646724276,0.015443695326721693,0.07233680513292165,0.004809615745198765,0.01099841576093596,0.07031239351433476,-0.011246062934370442,0.03159166258460684,-0.004278070786062122,-0.04041788090489694,0.11781108102469737,-0.0015786788896942619,0.019152972708032522,0.030338253007392423,0.003815527060060086,-0.03243025609953846,0.005317703097460309,0.025402620515449784,0.006078915413404077,-0.016446784948996398,0.08483536079445647,0.011629349154488792,0.007826034002952582,-0.03523038936074719,-0.04242624304232205,0.09288807868798452,-0.006150146378148528,0.037428136148440386,0.011133246499125123,0.06192164828488793,-0.01515879150467522,0.005694632283891924,0.005775378332992138,0.04414053835808299,-0.03608317434959145,-0.019113665885571125,-0.022986623962762742
AUD,-0.006365879840580092,0.0011310216880973311,0.11148512476972632,0.06925415836358592,0.037741968639053554,1.0,0.3831734469143015,0.16384578499456295,0.10525985055839505,0.06830107508279172,0.10461584294048154,0.08696388918756134,-0.03503979046350734,0.09241604558974795,-0.03384538434673591,0.07639850230639651,0.04553947592306059,-0.07068733303637427,0.10806099432494091,0.024664780509087637,-0.04142434799325792,-0.04750655855865937,-0.06939656670378691,0.04233376283827855,-0.037216254396153406,-0.059893253390790255,0.1128886814000772,-0.02052246040041214,0.026082832477371164,0.0946655884201465,-0.08089498846754062,0.012655749429537457,0.05556773613421905,0.07836897786117306,-0.07964559375623413,0.06813228520279108,0.015863608892679352,0.06116633944962779,-0.04245952228086725,0.008484426926272774,-0.04719473300880534,-0.0186875590088145,-0.035012004205619465,-0.05900588970053072,0.06699363225564123,0.032362521206941997,-0.03673024435320431,0.02118973228710078,-0.021966169557115646,-0.05258089158425922,-0.11324796064289328,-0.08596342481653302,-0.10740642743402257
AUD,0.04030668368291638,0.07702664176846731,0.1629689132708332,0.13162241375161515,0.03302863120180663,0.3831734469143015,1.0,0.1807379087945101,0.0464203724336359,-0.03565610846723261,0.03880327618916277,0.018253337532723422,0.07392042217410018,0.07296145909373959,-0.09615134430000832,0.03737333136304787,-0.03276671471514613,-0.05612270541104831,0.016171467971873143,-0.02651255310748273,-0.034875796379818615,-0.0043288368653474265,-0.040058576789790884,0.0001668230745869443,-0.050025918873017,-0.16284254573274246,0.2038493195036141,-0.1172578115274393,0.02260697168581755,0.06284589111841293,-0.11835931828976984,-0.015003331976672647,0.06486673879410215,0.04495221747072189,-0.15052171215095306,0.09214457351359535,0.007750440509682136,0.1054958704042786,0.02670226605971861,-0.0030359945984543587,-0.04729425173140399,0.07800072025215006,-0.09233846076231841,-0.11395931216878542,0.016839034246360494,-0.03684554015740132,-0.05821206231056702,-0.055970027133538915,-0.16873586166942228,0.01566315093194694,-0.10170428945106,-0.0034264467738363853,-0.04020536563704777
SM,0.018159554657308417,0.06892218423693322,0.1029616103798486,0.042367379676858795,0.04991453824237398,0.16384578499456295,0.1807379087945101,1.0,0.17128703553566105,-0.002525454726097683,0.16102034990336705,0.01904972867957545,0.0019852559136319735,0.1054897665021513,-0.06456189016974145,0.1889466971638199,-0.019502787235968065,-0.016842322654199667,0.03412016347599771,-0.022299501154693487,0.011869724465289588,-0.006859018029608685,-0.019814937652699798,0.0009434736144281295,0.003314906905764805,-0.05793198992288253,0.00101747477414013,-0.02073381205885973,0.0019455605049711003,0.036371454249423334,0.01744818118322297,-0.02969369236178919,0.07041118536232005,0.03940252269638215,-0.08120048922219902,-0.04673725567367335,0.0045081013842070685,0.06495955594892029,0.0008730484010340189,-0.0227911543406188,-0.06918390071916089,0.038266262067302034,-0.08434591841023019,-0.03065603376395222,-0.025486630988544878,-0.012926375625126036,-0.012058121510292593,-0.0707981200575538,-0.045908842701049,-0.05115470780882445,-0.07119384911044632,-0.031219859227598134,-0.05598395384698803
SM,-0.04417818805692299,0.016208048563758706,0.01619920100847637,-0.0021455949198374317,0.03206010701903004,0.10525985055839505,0.0464203724336359,0.17128703553566105,1.0,0.16867104653263393,0.337341653169166,0.2519532872508917,0.05377288373106239,0.10600064841781412,0.043571438754109605,0.1891113175087811,-0.018674330924274975,-0.024884894716093845,0.025259474761543648,-0.010161824053689705,-0.0026544289306382443,-0.048211433311714194,-0.03868524970541701,-0.0018507929320142717,-0.011227707415485733,-0.04957199454674288,-0.05867162465614999,-0.00833655175127018,-0.05327985034347471,-0.02064656180922305,-0.05226257468680282,-0.012135205015349306,0.07157527968413067,0.014932858647916205,-0.03052973733846605,-0.03459699224237799,-0.021398472760159548,0.048493888911291055,-0.039249824372152485,-0.07076404266887806,-0.0863300203470174,0.011104271623013138,-0.05873459479957282,-0.025835387345333038,-0.029849705266798587,-0.011440740341082669,-0.0043507443506776355,-0.005350597093370246,-0.014848363738185823,-0.05254580400811261,-0.05011034996656987,-0.0003479381538698924,-0.01735164999047644
SM,-0.07212461747849283,-0.12898791817978827,-0.09898240807192799,-0.05915842227719974,-0.007354064718002911,0.06830107508279172,-0.03565610846723261,-0.002525454726097683,0.16867104653263393,1.0,0.16320494477858422,0.3875447547450509,-0.09354706022445598,0.0934928709824482,0.17476851264057391,0.07568821937791928,-0.03131460198789517,-0.05191127943205619,-0.01940073547360374,0.01056545450566138,-0.06491674118006517,-0.1321344129563344,-0.05805378436597958,-0.011993552983363152,-0.039904628960693626,0.00296608639997264,-0.11780333802040369,0.04788412287023912,-0.013102351517726492,-0.022259878129961455,-0.07072019818377395,-0.009598554312333831,-0.008384875742837646,0.04070945649182705,-0.04129930009624213,0.012717179385860762,-0.012501530777117619,-0.02555466823633658,-0.11985091529890587,-0.038264831419626014,-0.062189896048311905,-0.1197224533924173,0.007263966275528905,-0.02491327148900222,-0.060123602301564306,0.021539193178554194,-0.026055613368681087,0.1875777453048456,0.06660085236149756,-0.05993642204872452,0.01895715224362328,-0.08104961744017797,-0.014661213478925487
