,SC,SC,SC,SC,SC,AUD,AUD,SM,SM,SM,SM,SM,SM,SM,SM,SM,VIS,VIS,VIS,VIS,VIS,VIS,VIS,VIS,VIS,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,DM,DM,DM,DM,DM,DM,DM,CB,CB,CB,CB
SC,1.0,0.2655375750062831,0.24369748928126908,0.4277988180537434,0.391022777161036,-0.22017986114005839,-0.05403223648443227,-0.1160281047266279,-0.28958612954631957,-0.32840449286358175,-0.3050808627590432,-0.3570453102967239,0.0870613923066751,-0.15251828123068534,-0.30314532428211166,-0.29410606873659334,-0.271793287761575,-0.0968626164032726,-0.1980158590436801,-0.29114529407612233,-0.19349587769770246,0.05113027099199541,-0.19468515847630538,-0.22767362620041584,-0.1274137372246459,0.08040279813746097,0.12731668356387935,0.08165558624184793,0.010678696909930863,-0.003302753524910958,-0.0024297387318438874,-0.031535879260728206,-0.1199161380858426,-0.12279220196557612,0.1338433655682097,0.03815055874481659,0.12400133182616091,-0.08104327709971218,0.22334934851923696,0.10048852478980015,0.1508379837305679,0.25849406580355894,-0.12019620373123908,0.014059468581202808,0.16920739757483555,0.029420603856476227,0.19306347869242602,-0.27068285227532257,-0.044299784568499034,0.18172916516482096,0.20884967410221733,0.22392730582850537,0.26432253312093923
SC,0.2655375750062831,1.0,0.2912538889263265,0.33159628462193497,0.201113794486638,-0.11578580782470581,0.011377958133123929,-0.06764731241997071,-0.1803571141573544,-0.2691669914417831,-0.16533740773274386,-0.19070885860234307,0.031572786411743506,-0.13536954546066204,-0.23202978374465064,-0.22669229004922645,-0.15773235709930816,-0.06976387361692585,-0.10147781836153134,-0.17495780296629904,-0.11073971170597903,0.06277246199200838,-0.12363222190272098,-0.12459036530354636,-0.04992219132924755,-0.00561884749943362,0.10884232998590285,-0.02629871335676486,-0.016517741539553755,-0.010293909199270732,-0.010880216249423104,-0.052841944100819584,-0.07895166016705536,-0.11467394921761433,0.03452784297966279,0.0035707425821479943,0.06886349855150617,-0.06767888908729855,0.1548579156719688,0.027678261815990143,0.07521875105717232,0.2531803339411495,-0.10453257136962572,0.01667293686564343,0.08140928558064917,-0.04649500431615062,0.06483821670721365,-0.1700292077232359,-0.053991441472187575,0.19594602244671916,0.07506893990932874,0.270868782142581,0.16477801527014485
SC,0.24369748928126908,0.2912538889263265,1.0,0.4213611800853018,0.2117934014491014,-0.07891833488140686,0.07318805873837823,-0.04698467391505937,-0.21967655477203504,-0.28271793573921555,-0.2155061926106321,-0.19671762221780323,0.10697679143688671,-0.08839016368860265,-0.25981731660044277,-0.200231358032429,-0.19382959180938542,-0.0723088567969438,-0.06527041941224047,-0.22956224830396302,-0.11259588318587822,0.07652967112052614,-0.16351389754420464,-0.16506729324870192,-0.0734774593985437,-0.02356402338265174,0.17478386541056395,-0.0005766087755979532,0.06268911830051399,0.061510792049456905,0.014210319423582625,-0.04499720772916428,-0.07220924928637243,-0.03774420020815946,0.04289745118509514,0.0428922195276588,0.05326038130084639,-0.021723737506174814,0.12870665553570232,0.08723436844598992,0.1099199234135408,0.22245480052286654,-0.1508127984055883,-0.046764405616848165,0.0727410433454324,0.0053143620427956685,0.048506430706155984,-0.19644359280506746,-0.05354609904303351,0.16942432010695602,0.052265740697233935,0.19790089969121666,0.12124199929862452
SC,0.4277988180537434,0.33159628462193497,0.4213611800853018,1.0,0.2873694785611667,-0.1586583667987713,0.02183583549349163,-0.1044684297743357,-0.24248190569032252,-0.29833300169806465,-0.25237252736922805,-0.26652471764397984,0.07879572438776011,-0.13621569778015571,-0.28748564122995873,-0.24653807906719807,-0.22628667504682085,-0.1059860950634726,-0.14451593988943076,-0.2670251503427255,-0.19352566758812517,0.049408557396195305,-0.20062961873646956,-0.1957387045856919,-0.09869900957934045,0.050686711975427304,0.1944021942370569,0.06362067972177415,-0.007313469353608614,0.035662242409989955,-3.7839080359147736e-05,-0.039648051061920146,-0.08744223237895933,-0.07730622870508244,0.1122414157254694,0.07376839341651055,0.13163177422996078,-0.05471901211112432,0.1970808961339829,0.07960809694812701,0.15512556963600432,0.21414037080400938,-0.1179993815858297,-0.023228996403841247,0.1945532555382521,-0.005977189075130866,0.2129922570685937,-0.19732838584468665,-0.04873031709600443,0.16410738440915515,0.12577715055876398,0.18719979920884366,0.17612006964745053
SC,0.391022777161036,0.201113794486638,0.2117934014491014,0.2873694785611667,1.0,-0.1385759908225705,-0.04154648319015134,-0.10677699527687655,-0.18817009411601296,-0.19590310612742237,-0.17138291418928892,-0.21450141982333715,0.04943636205476403,-0.01270320932172104,-0.16152571553744846,-0.21540026641112778,-0.1673990811936103,-0.06729405717940615,-0.13794540698760727,-0.17743163784994334,-0.11398123760891958,0.0758185294884755,-0.09317185133171539,-0.10750012409978468,-0.052335089652757696,0.05108030128576062,0.10021454785729685,0.019280260309822588,-0.003919619779570776,0.011903644148205512,-0.008354350980879536,-0.018866853719889318,-0.03426905882548187,-0.07864686805049786,0.043975971841670534,0.012744549678482982,0.1513643647833177,-0.07496037936908605,0.11123983709527267,0.06305532678440988,0.03118538626553325,0.22757367839106407,-0.034288384476842175,0.025986468375341576,0.09749625864710595,0.09440030812241187,0.08122299493573124,-0.13294505011809923,-0.037674673632198584,0.16892319931906483,0.11485308751845578,0.15333159507457364,0.18101944022371366
AUD,-0.22017986114005839,-0.11578580782470581,-0.07891833488140686,-0.1586583667987713,-0.1385759908225705,1.0,0.39334839455223575,0.27052453765109624,0.29726209894004757,0.23085714981098673,0.31179762081173024,0.2829989296342855,-0.033486454966449024,0.12781027797786676,0.14695397428681295,0.2882709608483602,0.17992551648297406,0.058203093950212434,0.242709950719227,0.165510182283264,0.11346324520597269,-0.0382145543820742,0.13566293850945899,0.1625428677496908,0.08694375657024479,-0.15020182079965666,0.021563178441913657,-0.12357356928979257,0.018062995125386824,0.07999610949976615,-0.07857965698274191,0.026048467334042653,0.17090846947275928,0.12490376642158833,-0.17779575785243382,0.006409145792421401,-0.09218714140922901,0.16645322381087324,-0.26587299830061406,-0.03262223930715733,-0.16981190280030056,-0.1456929180830361,-0.01131689025133755,-0.09623346733705725,-0.08996180548454975,-0.05279590645495887,-0.10991105541473485,0.1217785889982735,-0.06492223923470355,-0.15585157764040347,-0.2522287393513462,-0.23116336984673622,-0.23392853915883446
AUD,-0.05403223648443227,0.011377958133123929,0.07318805873837823,0.02183583549349163,-0.04154648319015134,0.39334839455223575,1.0,0.2793304432340947,0.13640005418217652,0.012165292996762249,0.12725137287088892,0.08711291931528936,0.07365997229972239,0.11338125170301169,-0.023037717660379504,0.13111149779929226,0.03153536957588364,-0.055924275070084344,0.13299600982498955,0.02222803317861079,0.023691785145138127,0.04024187073615377,0.05778904770979648,0.012011278734815065,0.029293391294143833,-0.17003468085693146,0.20056174138322716,-0.19460826694948605,0.03921638340914012,0.11771198275769951,-0.1178387652198552,0.05908836399757575,0.21226268212887706,0.04092965582292789,-0.2051170635367475,0.09183840988803897,-0.03972718133056613,0.21559062444819413,-0.14250153310069905,-0.02769367726003292,-0.09781113864979309,0.050658813516061524,-0.0890299242291914,-0.15871860586767042,-0.09167611898137112,-0.08204607525968757,-0.06945095965061931,-0.026311135329107508,-0.22167212131665182,-0.01499794700382267,-0.21480306556869327,-0.03769029481253215,-0.10943098002542193
SM,-0.1160281047266279,-0.06764731241997071,-0.04698467391505937,-0.1044684297743357,-0.10677699527687655,0.27052453765109624,0.2793304432340947,1.0,0.33076412473624484,0.15769052135844042,0.34898891242063346,0.25742323642945925,0.049506276041537144,0.15273769234875592,0.07324266128416788,0.32782561350843525,0.059934182069715056,0.044939041300365135,0.1896199770510591,0.06725763929909676,0.1277523374127349,-0.030641815233157527,0.10976671562689971,0.05995743370549544,0.09144516956127575,-0.09754868308559969,-0.06549904349666043,-0.09784166442722453,0.01695716702469111,0.011684175467512221,-0.02028144349096986,0.02253415159403737,0.18431636179398056,0.027594015652408415,-0.056380612174695685,-0.06433219710674773,-0.10574402965173056,0.20174279008392768,-0.12177024059450958,-0.1007013542731748,-0.1499314791124318,-0.06493682748785078,-0.10757317960313015,-0.06822759436765928,-0.12154369412672805,-0.1010298170375312,-0.055049699335960774,0.00042048724833720626,-0.08625763330118584,-0.09747282951192243,-0.20426221558389548,-0.06569247021785336,-0.129594886117661
SM,-0.28958612954631957,-0.1803571141573544,-0.21967655477203504,-0.24248190569032252,-0.18817009411601296,0.29726209894004757,0.13640005418217652,0.33076412473624484,1.0,0.43242649012613776,0.5788884688483398,0.5353531212259244,0.026997252864608946,0.17348030911661674,0.29528373191732754,0.4311744463316091,0.206133345227737,0.09176174278589058,0.172279481554508,0.2348779292838133,0.22024143274793856,-0.01353748456651365,0.20390128715045966,0.21459593323538126,0.13283576500707145,-0.14907486342246318,-0.15910169094128382,-0.15564629442438438,-0.06945280107443458,-0.06167304817772401,-0.08217997750572274,0.01488625575174704,0.21223736659464532,0.04549555213569961,-0.12253641608174135,-0.067775653361319,-0.09645128319429443,0.16899823415461845,-0.2309108082019959,-0.1279785120664432,-0.22975975003282872,-0.16626578717293458,0.025167243251796114,-0.04104072761613256,-0.19771187144825808,-0.10684025788174542,-0.14054287403743776,0.1560518024562476,-0.05208257360521159,-0.19478423172271686,-0.25742013656165513,-0.21325742284156032,-0.24029583299813848
SM,-0.32840449286358175,-0.2691669914417831,-0.28271793573921555,-0.29833300169806465,-0.19590310612742237,0.23085714981098673,0.012165292996762249,0.15769052135844042,0.43242649012613776,1.0,0.41365168185711865,0.5676253101029566,-0.12367347224837447,0.17847849777345245,0.34481402557872,0.31217306226347996,0.22303915315486658,0.11810331387247427,0.1398304861747196,0.2848564634097342,0.1697327619920514,-0.12194727891554123,0.1366255708112107,0.23690483618953823,0.06052186444089102,-0.12503095518627302,-0.22080427663153548,-0.0419671958875918,-0.06481533897728861,-0.08899762020768436,-0.07723152848458048,-0.060415322041531085,0.0768708427031391,0.10355108571931944,-0.14715083878469762,-0.05056588248974548,-0.10378354568588512,0.057739195091618956,-0.25511485843461185,-0.1221282924497921,-0.18746273544076658,-0.2319118657049946,0.08654475331878533,0.04631057607819463,-0.13544386425090996,-0.02122874139173186,-0.14579908740995162,0.29754177449291874,0.062206431278576564,-0.21330653465661284,-0.16711481301758457,-0.2833671204228241,-0.2281333818595789
