,Connectivity_Index,P_values,ADOS_Correlation,ROI_1_Index,ROI_2_Index,ROI_1_Name,ROI_2_Name
82,1237,0.035829585,-0.4736543,36,49,"Middle frontal gyrus ([MiFG], 36)","Posterior cingulate cortex ([PCC], 49)"
38,684,0.02796573,-0.37113285,16,26,"Postcentral gyrus ([PoCG], 16)","Inferior parietal lobule ([IPL], 26)"
87,1294,0.044729427,-0.3344764,40,48,"Inferior frontal gyrus ([IFG], 40)",Precuneus (48)
30,596,0.038548354,-0.3229972,13,52,"Paracentral lobule ([ParaCL], 13)","Cerebellum ([CB], 52)"
56,958,0.011014862,-0.3167287,24,40,"Lingual gyrus ([LingualG], 24)","Inferior frontal gyrus ([IFG], 40)"
48,836,0.040491745,-0.306518,20,40,Cuneus (20),"Inferior frontal gyrus ([IFG], 40)"
90,1324,0.008368493,-0.2645276,43,45,Precuneus (43),"Anterior cingulate cortex ([ACC], 45)"
43,734,0.0044592875,-0.2477067,17,40,"Calcarine gyrus ([CalcarineG], 17)","Inferior frontal gyrus ([IFG], 40)"
67,1120,0.016166558,-0.22732133,30,49,"Right inferior frontal gyrus ([R IFG], 30)","Posterior cingulate cortex ([PCC], 49)"
1,31,0.012700205,-0.21989888,1,33,Caudate (1),"Left inferior parietal lobue ([R IPL], 33)"
36,647,0.014020433,-0.21858472,15,26,"Superior parietal lobule ([SPL], 15)","Inferior parietal lobule ([IPL], 26)"
4,83,0.0064573186,-0.21165995,2,34,Subthalamus/hypothalamus (2),"Supplementary motor area ([SMA], 34)"
26,530,0.0019524569,-0.19800349,12,26,"Superior parietal lobule ([SPL], 12)","Inferior parietal lobule ([IPL], 26)"
0,23,0.04370748,-0.19628881,1,25,Caudate (1),"Middle temporal gyrus ([MTG], 25)"
70,1157,0.045958865,-0.19328447,32,43,"Inferior parietal lobule ([IPL], 32)",Precuneus (43)
2,32,0.0091543915,-0.16520606,1,34,Caudate (1),"Supplementary motor area ([SMA], 34)"
27,544,0.030739348,-0.16515937,12,40,"Superior parietal lobule ([SPL], 12)","Inferior frontal gyrus ([IFG], 40)"
7,182,0.011260028,-0.1649817,4,34,Caudate (4),"Supplementary motor area ([SMA], 34)"
25,503,0.028302638,-0.16120829,11,40,"Right postcentral gyrus ([R PoCG], 11)","Inferior frontal gyrus ([IFG], 40)"
85,1280,0.009363074,-0.15945409,39,47,"Middle cingulate cortex ([MCC], 39)","Anterior cingulate cortex ([ACC], 47)"
24,489,0.044982135,-0.15779108,11,26,"Right postcentral gyrus ([R PoCG], 11)","Inferior parietal lobule ([IPL], 26)"
45,800,0.021964138,-0.1459398,19,37,"Middle temporal gyrus ([MTG], 19)","Hippocampus ([HiPP], 37)"
93,1350,0.041485764,-0.14085922,46,47,"Posterior cingulate cortex ([PCC], 46)","Anterior cingulate cortex ([ACC], 47)"
21,404,0.033668872,-0.13729551,9,26,"Left postcentral gyrus ([L PoCG], 9)","Inferior parietal lobule ([IPL], 26)"
58,981,0.016085044,-0.13180847,25,35,"Middle temporal gyrus ([MTG], 25)","Superior frontal gyrus ([SFG], 35)"
79,1207,0.004686403,-0.11016449,35,36,"Superior frontal gyrus ([SFG], 35)","Middle frontal gyrus ([MiFG], 36)"
91,1333,0.0016542836,-0.10365736,44,45,Precuneus (44),"Anterior cingulate cortex ([ACC], 45)"
19,369,0.006941265,-0.09390693,8,35,"Postcentral gyrus ([PoCG], 8)","Superior frontal gyrus ([SFG], 35)"
