,Unnamed: 0,Unnamed: 0.1,Connectivity_Index,P_values,ADOS_Correlation,ROI_1_Index,ROI_2_Index,ROI_1_Name,ROI_2_Name,ASD_Mean,TD_Mean,ASD_STD,TD_STD,Dominant_Group,COMM_Correlation
0,0,130,1323,0.0005996004,-0.23238763,43,44,Precuneus (43),Precuneus (44),0.1531766489290774,0.2300961438659465,0.1956039983512629,0.2302184840641806,TD,-0.14914669
1,1,93,1059,0.04296103,-0.20524552,28,35,"Superior medial frontal gyrus ([SMFG], 28)","Superior frontal gyrus ([SFG], 35)",0.2009117278809186,0.2518071986248046,0.2536265639939485,0.2278197652766254,TD,-0.15896761
2,2,33,548,0.012229901,-0.20217448,12,44,"Superior parietal lobule ([SPL], 12)",Precuneus (44),-0.0363393968000597,0.010977539360936,0.1786481349407311,0.1827881629072021,TD,-0.1616811
3,3,0,3,0.021841293,-0.19516334,1,5,Caudate (1),Thalamus (5),0.168023562431144,0.2316129166578346,0.2514390381943262,0.2788504730706754,TD,-0.13838643
4,4,133,1336,0.020808535,-0.18165691,44,48,Precuneus (44),Precuneus (48),0.0417178100633419,0.089914164965494,0.1800829467397589,0.2173326970774258,TD,-0.046825062
5,5,135,1342,0.018825807,-0.16727287,45,46,"Anterior cingulate cortex ([ACC], 45)","Posterior cingulate cortex ([PCC], 46)",0.0691997992954736,0.1224197023147092,0.1890365304284519,0.2413975895781312,TD,-0.20122252
6,6,113,1220,0.0049555125,-0.16313447,35,49,"Superior frontal gyrus ([SFG], 35)","Posterior cingulate cortex ([PCC], 49)",0.2496030111527178,0.3214901751659796,0.241498994132578,0.2475740389231242,TD,-0.12430474
7,7,32,541,0.008217197,-0.16183311,12,37,"Superior parietal lobule ([SPL], 12)","Hippocampus ([HiPP], 37)",-0.0318558273082044,0.0179309278420851,0.1879094014644029,0.1722127148568936,TD,-0.13276234
8,8,105,1159,0.016303975,-0.15858006,32,45,"Inferior parietal lobule ([IPL], 32)","Anterior cingulate cortex ([ACC], 45)",-0.0529270318181301,-0.1006980015288225,0.1848038434048182,0.1957713459204885,ASD,-0.18150802
9,9,108,1190,0.034244213,-0.14975132,34,37,"Supplementary motor area ([SMA], 34)","Hippocampus ([HiPP], 37)",-0.0045536243056796,-0.0468781663935577,0.1833108840434487,0.1993699743715294,ASD,-0.10888427
10,10,131,1328,0.016764699,-0.14522536,43,49,Precuneus (43),"Posterior cingulate cortex ([PCC], 49)",0.1704785408367323,0.2313411348014849,0.2320120829422808,0.2545791494629488,TD,-0.093577735
11,11,25,390,0.022756157,-0.14511427,9,12,"Left postcentral gyrus ([L PoCG], 9)","Superior parietal lobule ([SPL], 12)",0.2519532872508918,0.3086143312235777,0.2300832217714783,0.2461031263154507,TD,-0.016802812
12,12,55,769,0.035578717,-0.14292294,18,40,"Middle occipital gyrus ([MOG], 18)","Inferior frontal gyrus ([IFG], 40)",-0.0485608340595666,-0.006618714025135,0.1717510337114121,0.2087144599632643,TD,-0.03598157
13,13,20,280,0.010009721,-0.13900286,6,37,"Superior temporal gyrus ([STG], 6)","Hippocampus ([HiPP], 37)",0.0158636088926793,-0.0432771717141442,0.2068427785120847,0.231734195061148,ASD,-0.10414774
14,14,12,189,0.048513085,-0.13700075,4,41,Caudate (4),"Middle frontal gyrus ([MiFG], 41)",0.0013775358053085,0.0464897028487958,0.2116778894891372,0.2263828818248744,TD,-0.07080492
15,15,6,135,0.034762092,-0.12777857,3,36,Putamen (3),"Middle frontal gyrus ([MiFG], 36)",-0.0254474446899537,0.0152388352231068,0.1881993473595863,0.1811102819529895,TD,-0.12701666
16,16,120,1278,0.033262283,-0.118674815,39,45,"Middle cingulate cortex ([MCC], 39)","Anterior cingulate cortex ([ACC], 45)",0.1181956983020743,0.0710697453734922,0.212261656499232,0.2119418312568275,ASD,-0.037313268
17,17,112,1215,0.016000597,-0.115866035,35,44,"Superior frontal gyrus ([SFG], 35)",Precuneus (44),0.0588157799317082,0.1166205877181345,0.2326633662605536,0.2267814420201633,TD,-0.06983736
18,18,82,987,0.014172908,-0.110504135,25,41,"Middle temporal gyrus ([MTG], 25)","Middle frontal gyrus ([MiFG], 41)",-0.1014696225881883,-0.0443195070083457,0.227338881664023,0.218666959816596,TD,-0.03421123
19,19,88,1029,0.0077343076,-0.10753674,27,30,Insula (27),"Right inferior frontal gyrus ([R IFG], 30)",0.1658929886917405,0.2219014301606343,0.1984533001761983,0.2037573807225547,TD,-0.121579036
20,20,68,893,0.010954059,-0.105570965,22,34,Fusiform gyrus (22),"Supplementary motor area ([SMA], 34)",-0.0571287832096632,-0.1107593888956072,0.1980157327533743,0.2053061985152355,ASD,-0.07540404
21,21,44,702,0.036063213,-0.104954414,16,44,"Postcentral gyrus ([PoCG], 16)",Precuneus (44),-0.0345009211757918,0.0066526735336248,0.2024418903731825,0.1728022666410483,TD,-0.1678564
22,22,37,583,0.02531725,-0.1030891,13,39,"Paracentral lobule ([ParaCL], 13)","Middle cingulate cortex ([MCC], 39)",0.0342012808697133,0.0832417709489395,0.202349605490187,0.2173607056597994,TD,-0.083397664
23,23,63,810,0.047517512,-0.10291654,19,47,"Middle temporal gyrus ([MTG], 19)","Anterior cingulate cortex ([ACC], 47)",0.0212001807468322,-0.0210485184472977,0.1707764870920745,0.2328704728653359,ASD,-0.04110281
