,Connectivity_Index,First_ROI_Index,First_ROI_Name,Second_ROI_Index,Second_ROI_Name,P_Values,ASD_Mean,TD_Mean,ASD_STD,TD_STD,Dominant_Group
0,1333,44,Precuneus (44),45,"Anterior cingulate cortex ([ACC], 45)",3.255791720628933e-08,0.15764613,0.31097555,0.27813882,0.2519171,TD
1,1345,45,"Anterior cingulate cortex ([ACC], 45)",49,"Posterior cingulate cortex ([PCC], 49)",9.17582524977465e-08,0.3575509,0.48772803,0.2411933,0.22517861,TD
2,1291,40,"Inferior frontal gyrus ([IFG], 40)",45,"Anterior cingulate cortex ([ACC], 45)",8.377528299456905e-06,0.0564376,-0.07002947,0.28454778,0.26180363,ASD
3,1263,38,"Left inferior parietal lobule ([L IPL], 38)",44,Precuneus (44),1.3136262134902832e-05,-0.20825744,-0.30873936,0.23479445,0.2090312,ASD
4,1260,38,"Left inferior parietal lobule ([L IPL], 38)",41,"Middle frontal gyrus ([MiFG], 41)",1.441667750206283e-05,0.042526644,-0.05734108,0.22426303,0.21931629,ASD
5,1070,28,"Superior medial frontal gyrus ([SMFG], 28)",46,"Posterior cingulate cortex ([PCC], 46)",1.856843515430403e-05,0.02447748,0.13186972,0.2530066,0.23019452,TD
6,646,15,"Superior parietal lobule ([SPL], 15)",25,"Middle temporal gyrus ([MTG], 25)",1.9690011761093147e-05,0.12853757,0.24631035,0.25295267,0.27772033,TD
7,185,4,Caudate (4),37,"Hippocampus ([HiPP], 37)",2.1113673328919418e-05,0.24797241,0.11034727,0.28729814,0.3337815,ASD
8,800,19,"Middle temporal gyrus ([MTG], 19)",37,"Hippocampus ([HiPP], 37)",2.552384549494731e-05,-0.0525401,-0.18999943,0.30996075,0.31917733,ASD
9,1157,32,"Inferior parietal lobule ([IPL], 32)",43,Precuneus (43),2.9723399420664153e-05,0.13618146,0.03540138,0.2347596,0.23063746,ASD
10,1178,33,"Left inferior parietal lobue ([R IPL], 33)",44,Precuneus (44),6.0953359826633005e-05,-0.23724768,-0.33241194,0.24732426,0.20989873,ASD
11,1264,38,"Left inferior parietal lobule ([L IPL], 38)",45,"Anterior cingulate cortex ([ACC], 45)",0.00010322199429248978,-0.13477796,-0.2386485,0.2678638,0.2486982,ASD
12,1227,36,"Middle frontal gyrus ([MiFG], 36)",39,"Middle cingulate cortex ([MCC], 39)",0.00013602434394975027,0.29153636,0.20025118,0.23063195,0.23153171,ASD
13,1215,35,"Superior frontal gyrus ([SFG], 35)",44,Precuneus (44),0.00013720287877345516,0.110583596,0.22961599,0.30362305,0.29944834,TD
14,1068,28,"Superior medial frontal gyrus ([SMFG], 28)",44,Precuneus (44),0.00015047078534694214,0.09646399,0.20175223,0.28963748,0.24604876,TD
15,1108,30,"Right inferior frontal gyrus ([R IFG], 30)",37,"Hippocampus ([HiPP], 37)",0.00015055125499447214,-0.0335763,-0.112900816,0.20442604,0.19996834,ASD
16,49,1,Caudate (1),51,"Cerebellum ([CB], 51)",0.00017260343782427067,-0.003421815,0.10007939,0.25186566,0.27937192,TD
17,1342,45,"Anterior cingulate cortex ([ACC], 45)",46,"Posterior cingulate cortex ([PCC], 46)",0.000258852952506954,0.096812256,0.19708239,0.27244708,0.25822312,TD
18,1337,44,Precuneus (44),49,"Posterior cingulate cortex ([PCC], 49)",0.00029186452236268194,0.49895754,0.59393287,0.26990536,0.23655416,TD
19,1323,43,Precuneus (43),44,Precuneus (44),0.00030631282652791506,0.30770615,0.394103,0.22951552,0.23318775,TD
20,451,10,"Paracentral lobule ([ParaCL], 10)",30,"Right inferior frontal gyrus ([R IFG], 30)",0.00037509838746678086,-0.050438352,-0.12431788,0.20014854,0.20154437,ASD
21,726,17,"Calcarine gyrus ([CalcarineG], 17)",32,"Inferior parietal lobule ([IPL], 32)",0.0003771839918027778,-0.12154484,-0.19910799,0.2084487,0.21335937,ASD
22,1057,28,"Superior medial frontal gyrus ([SMFG], 28)",33,"Left inferior parietal lobue ([R IPL], 33)",0.00046089493129201003,-0.24687475,-0.33231866,0.23991525,0.23211451,ASD
23,1293,40,"Inferior frontal gyrus ([IFG], 40)",47,"Anterior cingulate cortex ([ACC], 47)",0.0005774132429620477,0.022352267,-0.069731295,0.26399556,0.25380045,ASD
24,983,25,"Middle temporal gyrus ([MTG], 25)",37,"Hippocampus ([HiPP], 37)",0.0006530720984580993,0.11753159,0.018705979,0.2420285,0.31328118,ASD
25,1220,35,"Superior frontal gyrus ([SFG], 35)",49,"Posterior cingulate cortex ([PCC], 49)",0.0006567681634046927,0.39245898,0.48805448,0.2854692,0.25737783,TD
26,903,22,Fusiform gyrus (22),44,Precuneus (44),0.000676616785329297,0.14393696,0.060414758,0.23560971,0.23991922,ASD
27,1029,27,Insula (27),30,"Right inferior frontal gyrus ([R IFG], 30)",0.0007319797296976145,0.28704992,0.35819772,0.21407002,0.19357619,TD
28,893,22,Fusiform gyrus (22),34,"Supplementary motor area ([SMA], 34)",0.0008625437028350976,-0.09089229,-0.17209989,0.24842404,0.22324742,ASD
29,1310,41,"Middle frontal gyrus ([MiFG], 41)",52,"Cerebellum ([CB], 52)",0.00108758552825691,-0.06784845,0.013356366,0.22584602,0.25420263,TD
30,587,13,"Paracentral lobule ([ParaCL], 13)",43,Precuneus (43),0.001109404966544831,-0.054259058,-0.12746799,0.22537789,0.2093806,ASD
31,1324,43,Precuneus (43),45,"Anterior cingulate cortex ([ACC], 45)",0.0011423311482320027,0.063184425,0.13949668,0.23742853,0.21684407,TD
32,1287,40,"Inferior frontal gyrus ([IFG], 40)",41,"Middle frontal gyrus ([MiFG], 41)",0.0012858902811909918,0.4254466,0.34509268,0.2488659,0.23470415,ASD
33,1085,29,"Inferior frontal gyrus ([IFG], 29)",37,"Hippocampus ([HiPP], 37)",0.0014425959784259408,-0.021371672,-0.093337595,0.19911101,0.23624091,ASD
34,282,6,"Superior temporal gyrus ([STG], 6)",39,"Middle cingulate cortex ([MCC], 39)",0.0014883871025952588,-0.10147056,-0.17837688,0.2134044,0.25317925,ASD
35,1211,35,"Superior frontal gyrus ([SFG], 35)",40,"Inferior frontal gyrus ([IFG], 40)",0.0015720462977654452,0.05131946,-0.034864146,0.25521237,0.27244493,ASD
36,1038,27,Insula (27),39,"Middle cingulate cortex ([MCC], 39)",0.0017649651761618389,0.21263403,0.12379392,0.2721929,0.27817678,ASD
37,1233,36,"Middle frontal gyrus ([MiFG], 36)",45,"Anterior cingulate cortex ([ACC], 45)",0.0018132159718463224,0.09878116,0.02225649,0.2420882,0.23341057,ASD
38,1082,29,"Inferior frontal gyrus ([IFG], 29)",34,"Supplementary motor area ([SMA], 34)",0.002018083520703364,0.24975395,0.32503518,0.23835029,0.2342606,TD
39,1019,26,"Inferior parietal lobule ([IPL], 26)",46,"Posterior cingulate cortex ([PCC], 46)",0.002027520647530767,0.1917324,0.26225722,0.21312779,0.22918597,TD
40,209,5,Thalamus (5),13,"Paracentral lobule ([ParaCL], 13)",0.002195994337478814,-0.0075604916,0.07966047,0.26894036,0.28269988,TD
41,1262,38,"Left inferior parietal lobule ([L IPL], 38)",43,Precuneus (43),0.00240408903506665,-0.050401032,-0.116624355,0.22434306,0.19829209,ASD
42,1025,26,"Inferior parietal lobule ([IPL], 26)",52,"Cerebellum ([CB], 52)",0.002480017577901026,-0.11064641,-0.037482742,0.22457696,0.24345474,TD
43,1064,28,"Superior medial frontal gyrus ([SMFG], 28)",40,"Inferior frontal gyrus ([IFG], 40)",0.0024954419396189483,-0.023526734,-0.10777737,0.27915046,0.26100585,ASD
44,821,20,Cuneus (20),25,"Middle temporal gyrus ([MTG], 25)",0.0025080184281640575,-0.012693763,0.060002703,0.22966667,0.23645313,TD
45,322,7,"Middle temporal gyrus ([MTG], 7)",33,"Left inferior parietal lobue ([R IPL], 33)",0.0025683104267595785,0.18395013,0.24932398,0.20943311,0.21087524,TD
46,1179,33,"Left inferior parietal lobue ([R IPL], 33)",45,"Anterior cingulate cortex ([ACC], 45)",0.002650627289029715,-0.1653476,-0.24260418,0.2658597,0.2319478,ASD
47,378,8,"Postcentral gyrus ([PoCG], 8)",44,Precuneus (44),0.002652975028647563,-0.108475745,-0.1725469,0.20396906,0.20922887,ASD
48,42,1,Caudate (1),44,Precuneus (44),0.002813638231050437,-0.07005413,-0.008638893,0.20355076,0.19511403,TD
49,1067,28,"Superior medial frontal gyrus ([SMFG], 28)",43,Precuneus (43),0.0028837669619931755,-0.066555426,0.010196763,0.2596696,0.23971091,TD
50,1265,38,"Left inferior parietal lobule ([L IPL], 38)",46,"Posterior cingulate cortex ([PCC], 46)",0.0031798547495572966,0.009284756,-0.06317102,0.23691879,0.23935097,ASD
51,136,3,Putamen (3),37,"Hippocampus ([HiPP], 37)",0.003238587899633845,0.08244231,-0.02438468,0.338882,0.3638586,ASD
52,321,7,"Middle temporal gyrus ([MTG], 7)",32,"Inferior parietal lobule ([IPL], 32)",0.003522784572126235,-0.018557508,0.047719575,0.20832264,0.23116988,TD
53,1183,33,"Left inferior parietal lobue ([R IPL], 33)",49,"Posterior cingulate cortex ([PCC], 49)",0.003712104253042217,-0.28940737,-0.36768416,0.26607347,0.25723723,ASD
54,874,21,"Right middle occipital gyrus ([R MOG], 21)",46,"Posterior cingulate cortex ([PCC], 46)",0.00373736365016575,-0.029422158,-0.10124876,0.24456926,0.23597582,ASD
55,1138,31,"Middle frontal gyrus ([MiFG], 31)",45,"Anterior cingulate cortex ([ACC], 45)",0.003742865177173105,-0.07756531,-0.14745218,0.24646822,0.22086298,ASD
56,204,5,Thalamus (5),8,"Postcentral gyrus ([PoCG], 8)",0.0038662242108334806,0.0767847,-0.0050570588,0.26402763,0.28470328,ASD
57,1336,44,Precuneus (44),48,Precuneus (48),0.004577375130192528,0.11017166,0.17851686,0.22334205,0.24349055,TD
58,4,1,Caudate (1),6,"Superior temporal gyrus ([STG], 6)",0.0047756621934076735,-0.0076775854,-0.07854473,0.2464286,0.24088897,ASD
59,509,11,"Right postcentral gyrus ([R PoCG], 11)",46,"Posterior cingulate cortex ([PCC], 46)",0.0048534639653502595,-0.04348352,-0.110626385,0.22829224,0.23406665,ASD
60,328,7,"Middle temporal gyrus ([MTG], 7)",39,"Middle cingulate cortex ([MCC], 39)",0.005023004113855826,0.009615471,-0.065238826,0.23084404,0.28321457,ASD
61,1158,32,"Inferior parietal lobule ([IPL], 32)",44,Precuneus (44),0.005128900274423444,-0.2774677,-0.34550622,0.23119915,0.24022746,ASD
62,1352,46,"Posterior cingulate cortex ([PCC], 46)",49,"Posterior cingulate cortex ([PCC], 49)",0.005302615052348135,0.25151736,0.32293692,0.26335984,0.23333141,TD
63,1207,35,"Superior frontal gyrus ([SFG], 35)",36,"Middle frontal gyrus ([MiFG], 36)",0.005305770012447359,0.0009417889,-0.0797764,0.2751114,0.28637362,ASD
64,471,10,"Paracentral lobule ([ParaCL], 10)",50,"Cerebellum ([CB], 50)",0.005324642360314115,-0.077059135,-0.15574345,0.26079208,0.2860408,ASD
65,557,12,"Superior parietal lobule ([SPL], 12)",53,"Cerebellum ([CB], 53)",0.005337267722323955,-0.022971747,-0.09119826,0.23475328,0.240304,ASD
66,506,11,"Right postcentral gyrus ([R PoCG], 11)",43,Precuneus (43),0.005359621290761577,-0.116641715,-0.16877995,0.19467525,0.16815707,ASD
67,627,14,"Precentral gyrus ([PreCG], 14)",44,Precuneus (44),0.005419780328932691,-0.2038842,-0.2772241,0.29763493,0.20778982,ASD
68,643,15,"Superior parietal lobule ([SPL], 15)",22,Fusiform gyrus (22),0.0054966895785797535,-0.0735373,0.0037935856,0.24020594,0.29632285,TD
69,1218,35,"Superior frontal gyrus ([SFG], 35)",47,"Anterior cingulate cortex ([ACC], 47)",0.005608855264844582,0.11710302,0.18347825,0.23526879,0.22981538,TD
70,978,25,"Middle temporal gyrus ([MTG], 25)",32,"Inferior parietal lobule ([IPL], 32)",0.005778131604349132,-0.05610387,0.011287931,0.22066067,0.251579,TD
71,738,17,"Calcarine gyrus ([CalcarineG], 17)",44,Precuneus (44),0.0058718231301784895,0.3276129,0.39794326,0.25688654,0.23853686,TD
72,990,25,"Middle temporal gyrus ([MTG], 25)",44,Precuneus (44),0.005965707502848373,0.058871455,-0.008206504,0.23723511,0.23620121,ASD
