,Unnamed: 0,Connectivity_Index,ADOS_TOTAL_Corr,ADOS_COMM_Corr,ADOS_SOCIAL_Corr,ADOS_STEREO_Corr,Unnamed: 0.1,First_ROI_Index,First_ROI_Name,Second_ROI_Index,Second_ROI_Name,P_Values,ASD_Mean,TD_Mean,ASD_STD,TD_STD,Dominant_Group,First_ROI_Network,Second_ROI_Network,Networks
0,0,1237,-0.4736543,-0.3735408,-0.4523293,-0.19328438,72,36,"Middle frontal gyrus ([MiFG], 36)",49,"Posterior cingulate cortex ([PCC], 49)",0.0358295852852008,-0.0866332188572365,-0.1742651211140444,0.2397819238643151,0.237524272149934,ASD,CC,DM,CC-DM
1,1,684,-0.37113285,-0.23890053,-0.3864765,-0.25419524,55,16,"Postcentral gyrus ([PoCG], 16)",26,"Inferior parietal lobule ([IPL], 26)",0.0279657306717949,0.003118702549316,-0.0948381986003987,0.2630904035587518,0.2476988590587922,ASD,SM,CC,SM-CC
2,2,1294,-0.3344764,-0.18043272,-0.36928633,-0.012167769,89,40,"Inferior frontal gyrus ([IFG], 40)",48,Precuneus (48),0.0447294248649559,-0.0171389645195146,-0.1067319920027049,0.2432776127076907,0.2636558747958386,ASD,CC,DM,CC-DM
3,3,596,-0.3229972,-0.3722757,-0.23862803,-0.093169615,80,13,"Paracentral lobule ([ParaCL], 13)",52,"Cerebellum ([CB], 52)",0.0385483540542265,0.024874371304162,0.1209278052252744,0.2630591257815954,0.2668710948780076,TD,SM,CB,SM-CB
4,4,958,-0.3167287,-0.22871667,-0.31461495,-0.023276657,30,24,"Lingual gyrus ([LingualG], 24)",40,"Inferior frontal gyrus ([IFG], 40)",0.0110148618013536,-0.020594761345951,-0.1216676999496378,0.2331375697838372,0.2209359986372081,ASD,VIS,CC,VIS-CC
5,5,836,-0.306518,-0.2126619,-0.30995995,-0.10005235,84,20,Cuneus (20),40,"Inferior frontal gyrus ([IFG], 40)",0.0404917442945675,-0.0390341485605447,-0.1313877053014372,0.2506632788281899,0.2626529333560284,ASD,VIS,CC,VIS-CC
6,6,1324,-0.2645276,-0.3609791,-0.16528815,0.16857535,20,43,Precuneus (43),45,"Anterior cingulate cortex ([ACC], 45)",0.0083684927535251,-0.0459982090096714,0.0731464018276569,0.2527303060438476,0.2599381855865618,TD,DM,DM,DM-DM
7,7,734,-0.2477067,-0.09095842,-0.29953563,-0.12744033,10,17,"Calcarine gyrus ([CalcarineG], 17)",40,"Inferior frontal gyrus ([IFG], 40)",0.0044592873629046,-0.0453761472761192,-0.1737507245350154,0.2564260845508919,0.2558658521463244,ASD,VIS,CC,VIS-CC
8,8,1120,-0.22732133,-0.13366355,-0.24756137,0.06934587,38,30,"Right inferior frontal gyrus ([R IFG], 30)",49,"Posterior cingulate cortex ([PCC], 49)",0.0161665579031874,0.0482351631666834,-0.0449911395020521,0.2279517404845156,0.2153796092121429,ASD,CC,DM,CC-DM
9,9,31,-0.21989888,-0.122032635,-0.24076246,-0.22121866,33,1,Caudate (1),33,"Left inferior parietal lobue ([R IPL], 33)",0.0127002050699634,-0.2400094465374355,-0.1199161380858426,0.2123835003639579,0.3127130850919342,TD,SC,CC,SC-CC
