,Connectivity_Index,First_ROI_Index,First_ROI_Name,Second_ROI_Index,Second_ROI_Name,P_Values,ASD_Mean,TD_Mean,ASD_STD,TD_STD,Dominant_Group
0,1333,44,Precuneus (44),45,"Anterior cingulate cortex ([ACC], 45)",0.0016542835960779384,0.08763934579954277,0.22719971709381584,0.23866641328993154,0.25950228395470387,TD
1,1337,44,Precuneus (44),49,"Posterior cingulate cortex ([PCC], 49)",0.001739285507427341,0.2839711956195068,0.4397571613230459,0.31255934231900717,0.2555225338482871,TD
2,829,20,Cuneus (20),33,"Left inferior parietal lobue ([R IPL], 33)",0.0018488019285916137,0.20709574282573093,0.07766351642127318,0.22574280839832966,0.2419102967921683,ASD
3,530,12,"Superior parietal lobule ([SPL], 12)",26,"Inferior parietal lobule ([IPL], 26)",0.0019524568773847332,-0.027875622858203386,-0.1727058613470895,0.2677580621975853,0.262087960138046,ASD
4,951,24,"Lingual gyrus ([LingualG], 24)",33,"Left inferior parietal lobue ([R IPL], 33)",0.002260596097157012,0.16413784183928642,0.045473213698173295,0.2199939321653195,0.2199142645350351,ASD
5,1227,36,"Middle frontal gyrus ([MiFG], 36)",39,"Middle cingulate cortex ([MCC], 39)",0.003242856539049604,0.19792861353847957,0.057887125994036774,0.29295254393612985,0.2507387155044833,ASD
6,978,25,"Middle temporal gyrus ([MTG], 25)",32,"Inferior parietal lobule ([IPL], 32)",0.003327201048419552,-0.09050554215499253,0.04011103496112739,0.22431177594342944,0.2710921178846233,TD
7,729,17,"Calcarine gyrus ([CalcarineG], 17)",35,"Superior frontal gyrus ([SFG], 35)",0.0034729235588431794,-0.1550494097497076,-0.023792229514766894,0.24173744419988685,0.2637722366078945,TD
8,1038,27,Insula (27),39,"Middle cingulate cortex ([MCC], 39)",0.003990167652871636,0.24058646080748605,0.09946544596716338,0.27359795979334833,0.28121539189340067,ASD
9,727,17,"Calcarine gyrus ([CalcarineG], 17)",33,"Left inferior parietal lobue ([R IPL], 33)",0.0043272413169298096,0.16064395915504204,0.030492872122972265,0.24204772161631483,0.2705570684667707,ASD
10,734,17,"Calcarine gyrus ([CalcarineG], 17)",40,"Inferior frontal gyrus ([IFG], 40)",0.004459287362904668,-0.045376147276119216,-0.17375072453501544,0.2564260845508919,0.2558658521463244,ASD
11,1218,35,"Superior frontal gyrus ([SFG], 35)",47,"Anterior cingulate cortex ([ACC], 47)",0.004673416655261231,0.057951347970367384,0.18478685350070773,0.24652776737864437,0.2601498323518582,TD
12,1207,35,"Superior frontal gyrus ([SFG], 35)",36,"Middle frontal gyrus ([MiFG], 36)",0.004686402935223635,0.05373563267841945,-0.07942822847920596,0.28423648459152556,0.25372305701814873,ASD
13,603,14,"Precentral gyrus ([PreCG], 14)",20,Cuneus (20),0.005294530126725406,0.2222050832250221,0.09295373496142018,0.2671232582418073,0.2600670220416838,ASD
14,1194,34,"Supplementary motor area ([SMA], 34)",41,"Middle frontal gyrus ([MiFG], 41)",0.00553606673082424,0.05414506620389302,-0.06114116097761182,0.24884107951692033,0.22582418265408769,ASD
15,895,22,Fusiform gyrus (22),36,"Middle frontal gyrus ([MiFG], 36)",0.005844501396095211,-0.22637438828308756,-0.11630641866067411,0.24214853623589577,0.21452402079335406,TD
16,83,2,Subthalamus/hypothalamus (2),34,"Supplementary motor area ([SMA], 34)",0.006457318367193378,-0.007319575741880032,-0.11467394921761435,0.1827781397419855,0.2502297793367287,ASD
17,369,8,"Postcentral gyrus ([PoCG], 8)",35,"Superior frontal gyrus ([SFG], 35)",0.006941264751026222,-0.17614685241771733,-0.056380612174695685,0.2228763295731076,0.27181212715840675,TD
